"id","name","code","account_type","reconcile","currency_id","tag_ids","name@zh_CN"
"mjb_l10n_cn_25010300","LD - Due interest - Long term","25010300","liability_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_longterm_loan","长期借款 - 借款利息"
"mjb_l10n_cn_25010310","LD - On intra - Long term Due interest","25010310","liability_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_longterm_loan","长期借款 - 集团内部借款利息"
"mjb_l10n_cn_25010320","LD - Non intra - Long term Due interest","25010320","liability_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_longterm_loan","长期借款 - 集团外部借款利息"
"mjb_l10n_cn_25020000","Bonds payable","25020000","liability_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_bonds_payable","应付债券"
"mjb_l10n_cn_26010000","Undue liability reserves","26010000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_non_current_liabilities","未到期责任准备金"
"mjb_l10n_cn_26020000","Policy reserve","26020000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_non_current_liabilities","保险责任准备金"
"mjb_l10n_cn_26110000","Deposit of the Insured","26110000","liability_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_non_current_liabilities","保户储金"
"mjb_l10n_cn_26210000","Separate account liabilities","26210000","liability_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_non_current_liabilities","独立账户负债"
"mjb_l10n_cn_27010000","Long-term payables","27010000","liability_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_longterm_account_payable","长期应付款"
"mjb_l10n_cn_27020000","Unrecognised finance charge","27020000","liability_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_non_current_liabilities","未确认融资费用"
"mjb_l10n_cn_27110000","Special payable","27110000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_non_current_liabilities","专项应付款"
"mjb_l10n_cn_28010000","Beforehand liabilities","28010000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_non_current_liabilities","预计负债"
"mjb_l10n_cn_28020000","Unrecognised finance charge","28020000","liability_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_other_non_current_liabilities","未确认融资费用"
"mjb_l10n_cn_29010000","Deferred income tax liabilities","29010000","liability_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_deffered_taxation_credit","递延所得税负债"
"mjb_l10n_cn_31010000","Derivative","31010000","equity","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_less_treasury_stock","衍生工具"
"mjb_l10n_cn_32010000","Arbitrage tool","32010000","equity","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_less_treasury_stock","套期工具"
"mjb_l10n_cn_40010000","CP - Reserves","40010000","equity","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_capital_reserves","实收资本"
"mjb_l10n_cn_40010100","CP - Share capital","40010100","equity","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_share_capital","股本"
"mjb_l10n_cn_40010200","CP - Reserves","40010200","equity","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_capital_reserves","实收资本"
"mjb_l10n_cn_40020000","Contributed surplus","40020000","equity","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_surplus_reserves","资本公积"
"mjb_l10n_cn_41010000","Surplus from Profit","41010000","equity","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_surplus_reserves","盈余公积"
"mjb_l10n_cn_41020000","General risk preparation","41020000","equity","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_less_treasury_stock","一般风险准备"
"mjb_l10n_cn_41030000","Yearly Net Income (Profit or Loss) (PL)","41030000","equity","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_undivided_profits","本年利润"
